gene_symbol,importance
Htr1a,-4.0011946e-06
Il31ra,1.6536094e-05
Gzmk,-0.00018486426
Fst,1.7758604e-05
Itga2,4.0781448e-05
Isl1,3.4600984e-05
Fgf10,-1.8861567e-05
Fam107a,0.039368432
4930452B06Rik,0.00021037033
Fezf2,0.040654097
Synpr,0.21629934
Nek10,0.046327572
Rarb,0.070277475
Comtd1,-0.00013485577
Zfp503,0.00010919907
Ppif,-0.00015879427
Wnt5a,-0.00012130451
Prkcd,0.00021110021
Itih3,-0.00011140589
Tnnc1,-0.000119489254
Arhgap22,-7.5793505e-05
Sncg,-1.1685042e-05
Cdhr1,-1.371518e-08
Bmp4,-2.5287241e-05
Apex1,-0.00013553105
Pnoc,2.3018772e-05
Ptk2b,0.1246275
Adra1a,0.12000523
Ebf2,-0.00018332562
Gnrh1,3.3906297e-05
Dock5,-4.783002e-05
Stc1,-5.6994726e-05
Egr3,0.1555998
Htr2a,0.0729947
Lcp1,0.031813715
Epsti1,7.738082e-05
Cnmd,7.449693e-06
Pcdh8,0.16500565
Diaph3,-8.906914e-06
Pcdh20,0.048404526
Dach1,0.106848694
Klf5,0.048528478
Ednrb,0.03413993
D130009I18Rik,0.00026793196
Slitrk6,-0.00012838014
Sox21,0.00018373644
Zic5,0.0002176995
Zic2,2.9568077e-05
Plcxd3,0.17359632
C7,0.00016997207
Fyb,0.030942103
Egflam,-2.2071763e-06
Ranbp3l,-0.00024331108
Prlr,0.04461705
Rai14,0.06366072
Rxfp3,-0.00011575834
Adamts12,-0.0002570453
Npr3,-0.00034955257
Cdh6,0.10312143
Cdh9,0.19805017
Sema5a,0.13078175
Matn2,0.069694355
Snx31,-9.4737916e-05
Zfpm2,0.19283296
Angpt1,0.04193848
Rspo2,0.056851465
Trhr,0.06534995
Trps1,0.21278167
Tnfrsf11b,0.00025135663
Ccn3,0.085826665
Col14a1,-0.00016731601
Sntb1,0.00012882781
Lratd2,0.00014637923
Adcy8,0.16740957
Sla,0.0001283796
Ccn4,-0.00011055646
St3gal1,0.07531348
Kcnk9,0.07757382
Mafa,4.1003586e-05
Pvalb,-0.00023950457
Sox10,0.045404434
Kcnj4,0.10957996
Nfam1,1.6687656e-05
Fbln1,1.608151e-05
Wnt7b,0.02841799
Syt10,-0.00028598792
Cpne8,0.14843209
Gm30564,-0.00010282544
Dbx2,-2.0170482e-05
Slc38a1,0.21771123
Amigo2,-0.00011683094
Vdr,-6.3273386e-05
Prph,4.813337e-07
Kcnh3,0.1516018
Igfbp6,0.06322664
Sec14l5,0.00015427897
Tmem114,0.0001827887
Emp2,-4.6288813e-05
Pkp2,6.910751e-05
Cldn5,0.09392004
Igf2bp2,-0.00014200064
Masp1,-0.00036493334
Bcl6,0.0135336155
P3h2,-0.000107078136
Il1rap,0.12568991
Fam43a,-7.5575525e-05
Slc12a8,-3.4797245e-05
Mylk,0.123475455
Sema5b,0.13737164
Casr,8.7347405e-05
Upk1b,-1.8679428e-05
Drd3,-7.011952e-05
Boc,0.00018985906
Ccdc80,-0.00020727649
Abi3bp,0.00017804395
Lnp1,5.8969104e-05
Col8a1,0.0001879573
Epha6,0.22294675
Epha3,0.17808121
Htr1f,0.16739288
Vgll3,-2.403705e-05
Chodl,0.00011834291
Grik1,0.13326313
Clic6,0.00018264522
Bace2,-8.636132e-05
Fndc1,0.045019537
Smoc2,-2.3696768e-05
Prss22,-0.00017919915
Baiap3,0.07733078
Lhfpl5,3.732697e-05
Cdkn1a,0.07548392
Pim1,5.7128917e-05
Mdga1,0.09152807
Ly6g6e,7.7780656e-05
H2-Q2,1.50203705e-05
Tcf19,0.00010219732
Zfp57,0.00010865302
Mog,0.061969
Adgrf5,-0.00057368696
Pla2g7,0.02590916
Clic5,-1.869745e-05
Runx2,0.09759368
Tbcc,-0.00012573677
Satb1,0.11249334
Kcnh8,2.2799417e-05
Slc5a7,1.06980515e-05
Catsperd,6.1849096e-05
Efna5,0.1840388
Lama1,4.9964897e-06
Arhgap28,-0.0001200666
L3mbtl4,4.7959093e-05
Akain1,-0.0002948518
Alk,0.0768929
Galnt14,0.1487852
Ltbp1,1.0384472e-05
Vit,-0.000110414396
Qpct,-9.498282e-06
Six3,0.04950664
Adcyap1,0.054721884
Mkx,0.041628323
Colec12,0.027753193
Lama3,0.00011446518
Zfp521,0.00022476217
Aqp4,0.00017675672
Chst9,0.09178599
Dsg2,-0.00010093639
Klhl14,-8.2572245e-05
4930426D05Rik,0.00023964424
Epb41l4a,-3.232708e-05
Fgf1,0.045413736
Sh3rf2,6.896466e-05
Stk32a,0.0001595731
Sema6a,0.1653777
Ctxn3,9.908246e-05
Ccdc192,-3.59767e-06
Fbn2,0.050395306
Isoc1,0.053631578
Adamts19,7.996592e-05
Htr4,0.050812583
Piezo2,0.00023626353
Onecut2,9.783581e-05
Alpk2,2.8290287e-05
Grp,-8.487729e-05
Ccbe1,-0.00015618198
Pmaip1,-0.00016573875
Mc4r,6.1119536e-05
Cidea,1.2166303e-05
Myo5b,0.056338783
Lipg,-4.4590248e-05
Zbtb7c,0.048479993
Ier3ip1,0.23824483
Kcng2,7.745268e-05
Nfatc1,-0.00021980974
Sall3,0.00023425945
Galr1,7.43103e-06
Tshz1,0.14091721
Cbln2,0.047733933
Aldh3b2,5.3944386e-05
Npas4,-0.00021235482
Rasgrp2,-0.00027661305
Chrm1,0.12597239
Lrrc10b,6.462319e-05
Mrpl16,-9.046127e-05
Gna14,-0.00019311719
Pcsk5,0.10525326
Rorb,0.07892477
